seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
KITTI-17,0.21579922457444842,0.1354063886982556,0.029220593683509915,0.21579922457444842,0.1548522054542376,0.09101435111985096,0.047649723894060914,0.019621025059457356,0.017150518781339517,0.007058835741940914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029112941296070304,0.2509505703422053,0.1543859649122807,0.06760411032990805,0.03080939947780679,0.01023541453428864,0.007142857142857143,0.0020304568527918783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027534672294323076,0.18557162577247635,0.15531985402731371,0.12253119032768109,0.0736949186177993,0.037612997802302484,0.04117964122567114,0.024539877300613498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03370790026704513,0.5797950219619327,0.38653001464128844,0.18301610541727673,0.08638360175695461,0.029282576866764276,0.020497803806734993,0.005856515373352855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06796640209601602,0.3067389620449264,0.20449264136328427,0.09682416731216112,0.045701006971340045,0.015491866769945779,0.010844306738962044,0.003098373353989156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035957438134453096,0.3160036019595595,0.30049098246724715,0.30323120788565466,0.19028975746829874,0.09855112279025321,0.11336342229199373,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07333466664692519,0.32730291098991265,0.24612174208484727,0.16416479782810647,0.10588330884604867,0.05890949373286329,0.060689804711543845,0.036036036036036036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052584636538387276,0.1354063886982556,0.16495709364916386,0.21196338072661758,0.25237396756759956,0.31974144007148675,0.3365817355862049,0.36897529057053147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7257894366773611,0.3280144887657624,0.24502201013635563,0.1497503964799936,0.07978742069644283,0.03318742983925327,0.029053264991658737,0.011988251276613938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04614754011505687,396.0,264.0,125.0,59.0,20.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.421052631578945,287.0,419.0,558.0,624.0,663.0,669.0,679.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,636.578947368421,895.0,1027.0,1166.0,1232.0,1271.0,1277.0,1287.0,1291.0,1291.0,1291.0,1291.0,1291.0,1291.0,1291.0,1291.0,1291.0,1291.0,1291.0,1291.0,1244.578947368421,-1.890190336749634,0.0,-1.890190336749634,0.0,0.0,0.0,0.0,1.0,-1.890190336749634,0.0,8.903448275862068,-1.890190336749634,0,0,683,1291,0,0,0,9,0.0,145,0.0,0.0,0.0,0,683,1291,1291,683,22,9
PETS09-S2L1,0.702120288706445,0.6938757029829073,0.4871842089047464,0.702120288706445,0.7011856588037471,0.7001489529862002,0.6991882382080291,0.6981481272809462,0.6941511849335545,0.6858742811747425,0.6758206620743028,0.655822810708844,0.629871059922488,0.5953088751852184,0.532405032432499,0.4207144806991003,0.2868183814794109,0.18085155554779234,0.09865088904913312,0.03676280833848693,0.008718200649216652,0.000629150353009517,0.47385213887016664,0.7860660222505927,0.7837887067395264,0.7818413391557496,0.7795747773941486,0.77699147160225,0.7715267727930536,0.7606975907946781,0.7465667915106118,0.7238162295370534,0.6925337020394055,0.6489307964303754,0.579516129032258,0.4562081784386617,0.30643009605122734,0.1760538008886754,0.0863006100942873,0.02651991614255765,0.0049256028732683425,0.00010212418300653595,0.5204416135763887,0.6271393061893028,0.6272880993109751,0.6269923727709397,0.6270908277491394,0.6273052220519132,0.6245355113216574,0.6184106999544093,0.6117785742416818,0.5942165172520913,0.5728783320718505,0.5461177968802304,0.4891237781988846,0.3879822472181125,0.26846182869947705,0.18578005688578178,0.11276858760965568,0.05096185333570898,0.015431009059317003,0.003875968992248062,0.432533609989125,0.9629133154602324,0.961349419124218,0.9600089365504915,0.9584450402144772,0.9566577301161752,0.9528596961572833,0.9452636282394995,0.9352100089365505,0.9186773905272565,0.895218945487042,0.8610366398570152,0.8027256478999106,0.6854334226988382,0.5131814119749777,0.32752457551385167,0.17381590705987487,0.0565236818588025,0.010723860589812333,0.00022341376228775692,0.6777785616857156,0.8106074854241113,0.8092909535452323,0.8081624976490502,0.8068459657701712,0.8053413579085951,0.8021440662027459,0.7957494827910476,0.7872860635696821,0.7733684408501035,0.7536204626669174,0.724844837314275,0.6757570058303555,0.5770171149144254,0.43201053225503105,0.27571939063381606,0.14632311453827346,0.04758322362234343,0.00902764716945646,0.0001880759826970096,0.57057303782307,0.6850569654071619,0.6854008122576963,0.6855011657104012,0.6858047475850695,0.6861896561320245,0.6848728634825276,0.68194471508361,0.6785712363524529,0.6670580219939022,0.6534609292301493,0.6358652039771608,0.5947343548087164,0.509482219326392,0.38617644095392184,0.28374867163306633,0.18828958245475935,0.09571048522068147,0.027746303160894478,0.0064516129032258064,0.501161367772306,0.8242826088923016,0.8244060328250161,0.8245719071635889,0.8242820045683696,0.8247704198322438,0.8224779381672784,0.817012253585255,0.8096353591765484,0.797079679845499,0.7777347360108492,0.7532603186809411,0.7053430019634713,0.608053557778735,0.46902581403455496,0.3481434673588235,0.23413022595866975,0.10419851085531119,0.042474156365546106,0.009615384615384616,0.6010788093514942,0.6938757029829073,0.694875917850531,0.6956798065254661,0.6965257120899857,0.6974058995917285,0.6990578226546904,0.7020588829308848,0.7055475781489442,0.7105589002450093,0.7167040894585135,0.7242939568528088,0.7349252978652071,0.7533225067469757,0.7789823071746347,0.8098804403721689,0.841831814838693,0.8784139977100255,0.9171965325272748,0.9510817890753845,0.7580115239811491,0.7770976699091121,0.7765584652143975,0.7758339261782119,0.7752625965569044,0.7746717949029811,0.7714238248572494,0.7645659827516743,0.7564003211816831,0.7388459105099965,0.7161365346983335,0.6857313123898233,0.6266037039133681,0.5156898289253896,0.3711733022637569,0.24667292974798613,0.14000347975401636,0.05367077030267562,0.012863902592613436,0.0009305615589894229,0.5410598325373243,4310.0,4303.0,4297.0,4290.0,4282.0,4265.0,4231.0,4186.0,4112.0,4007.0,3854.0,3593.0,3068.0,2297.0,1466.0,778.0,253.0,48.0,1.0,3033.7368421052633,166.0,173.0,179.0,186.0,194.0,211.0,245.0,290.0,364.0,469.0,622.0,883.0,1408.0,2179.0,3010.0,3698.0,4223.0,4428.0,4475.0,1442.2631578947369,1007.0,1014.0,1020.0,1027.0,1035.0,1052.0,1086.0,1131.0,1205.0,1310.0,1463.0,1724.0,2249.0,3020.0,3851.0,4539.0,5064.0,5269.0,5316.0,2283.2631578947367,0.6088025022341377,0.7166131387168411,0.6324843610366399,0.9101876675603218,0.7662215535076171,0.8947368421052632,0.10526315789473684,0.0,0.35086727594557876,0.8320228734810579,1.5635220125786164,0.6320318798334976,2919.4819271324104,4074,402,1243,106,17,2,0,100.0,795,0.6488307975084244,0.7097855227882037,0.5975173970283995,3177,1299,2140,5317,4476,62,19
TUD-Campus,0.5859240917188968,0.6724868168184942,0.39402622733730835,0.5859240917188968,0.5823817945068304,0.5823817945068304,0.5788415922363118,0.5767448045214479,0.558023752067422,0.545484129194738,0.5447401102618332,0.535968473193011,0.5154511494413654,0.4827695426343207,0.4350256001309981,0.37164753837303244,0.29974828506408596,0.18848593783388445,0.11358451076320497,0.05443450698430879,0.022546440245957797,0.0,0.3986412659830779,0.6840659340659341,0.6657608695652174,0.6657608695652174,0.6612466124661247,0.6522911051212938,0.6346666666666667,0.6131578947368421,0.6089238845144357,0.5922077922077922,0.5558375634517766,0.5135802469135803,0.45260663507109006,0.3561946902654867,0.2665289256198347,0.16318785578747627,0.08112874779541446,0.03898305084745763,0.013223140495867768,0.0,0.4325974992188163,0.5018625020779421,0.5094450125831124,0.5094450125831124,0.5067059438732981,0.5099480384308317,0.4906363044192286,0.4852794651384971,0.4873216427775701,0.48506995017055377,0.4779991582621342,0.4538072340125828,0.4181274822442901,0.3877707797266339,0.3371080050313837,0.21770583717569406,0.15902428468205496,0.07601035542906998,0.03844336131219375,0.0,0.371142651048957,0.6935933147632312,0.6824512534818942,0.6824512534818942,0.6796657381615598,0.6740947075208914,0.6629526462395543,0.649025069637883,0.6462395543175488,0.6350974930362117,0.6100278551532033,0.5793871866295265,0.532033426183844,0.44846796657381616,0.3593314763231198,0.2395543175487465,0.12813370473537605,0.06406685236768803,0.022284122562674095,0.0,0.4730977862483507,0.9803149606299213,0.9645669291338582,0.9645669291338582,0.9606299212598425,0.952755905511811,0.937007874015748,0.9173228346456693,0.9133858267716536,0.8976377952755905,0.8622047244094488,0.8188976377952756,0.7519685039370079,0.6338582677165354,0.5078740157480315,0.33858267716535434,0.18110236220472442,0.09055118110236221,0.031496062992125984,0.0,0.6686697057604641,0.5204120191923519,0.5282186885485247,0.5282186885485247,0.5262851585835596,0.5295851671091748,0.516572826313624,0.5150388501730458,0.5171981361348166,0.5158701968144147,0.5105264591098085,0.4928911960007911,0.46617657369464016,0.4437147626962604,0.40721947100345396,0.29716948330811743,0.23395527755907422,0.1124887732190243,0.056606514084507044,0.0,0.4062183285312481,0.8958488554519738,0.9062886693138795,0.9062886693138795,0.9026259179586085,0.9049998130212035,0.8901394873713213,0.8845405480219921,0.8880996731022086,0.8812887944079895,0.8626000428176093,0.8328034294239045,0.7808026541010834,0.7406321641615758,0.6675758988344488,0.48189265956023825,0.3540784453827932,0.22185477402868709,0.12876984126984126,0.0,0.6911121230285915,0.6724868168184942,0.6821444087672139,0.6821444087672139,0.6841531702280678,0.6879227272121812,0.6946512696370462,0.7023019021629057,0.7036885972496523,0.7085333468473486,0.718076631035685,0.727982466324619,0.7412413985792672,0.76434422156692,0.7873046190362779,0.816626625462961,0.855416953233969,0.8893712376476846,0.9209750609564792,1.0,0.7599666242912625,0.589990234132404,0.5896366571181311,0.5896366571181311,0.5868480803184885,0.5863047618917007,0.5703232735527485,0.5612116700990346,0.5611831441141766,0.5550375746744709,0.5399933344770899,0.5127670978004317,0.47165431934845464,0.4170165141583084,0.3480424070832013,0.22836894108219252,0.14274582564546262,0.06978355264451445,0.029269037825013812,0.0,0.4184112148991555,249.0,245.0,245.0,244.0,242.0,238.0,233.0,232.0,228.0,219.0,208.0,191.0,161.0,129.0,86.0,46.0,23.0,8.0,0.0,169.8421052631579,110.0,114.0,114.0,115.0,117.0,121.0,126.0,127.0,131.0,140.0,151.0,168.0,198.0,230.0,273.0,313.0,336.0,351.0,359.0,189.1578947368421,5.0,9.0,9.0,10.0,12.0,16.0,21.0,22.0,26.0,35.0,46.0,63.0,93.0,125.0,168.0,208.0,231.0,246.0,254.0,84.15789473684211,0.4986072423398329,0.7149771932301316,0.5292479108635098,0.6183844011142061,0.8740157480314961,0.125,0.875,0.0,0.3223535846715578,0.7243066884176182,0.4507042253521127,0.5263470955845174,158.72493689708924,222,137,32,11,1,7,0,18.0,71,0.5611745513866232,0.479108635097493,0.6771653543307087,172,187,82,254,359,12,8
TUD-Stadtmitte,0.6267282945176845,0.5964953765900806,0.3738405300579852,0.6267282945176845,0.623542852479201,0.6221282704364614,0.6163658640518321,0.6077030491096073,0.5844126401286186,0.5668928528831645,0.551131279123612,0.510353013169273,0.4793496799313736,0.4251552245741978,0.32456275436129817,0.24438400078429418,0.13673930001460186,0.055071777694812994,0.0026473934844203945,0.0,0.0,0.0,0.3672193814076028,0.7978896103896104,0.7819790828640386,0.7748397435897436,0.7537608867775138,0.7264224473889321,0.6947207345065034,0.6641622839969947,0.6407407407407407,0.6027496382054993,0.5709219858156028,0.5150478796169631,0.3887147335423197,0.254957507082153,0.11586901763224182,0.035046728971962614,0.0009037505648441031,0.0,0.0,0.0,0.4378277248255613,0.49228408295383935,0.49720727497451456,0.4995143680719503,0.50401511279332,0.5083859911330441,0.4916193183505812,0.483868949492271,0.47405396210217204,0.432120040463891,0.4024649975986802,0.35095176999304234,0.27099817019702394,0.2342489951476253,0.1613687295410406,0.0865387665962556,0.007755117987185497,0.0,0.0,0.0,0.3103892445998125,0.8503460207612457,0.8408304498269896,0.8365051903114187,0.8235294117647058,0.8062283737024222,0.7854671280276817,0.7647058823529411,0.7482698961937716,0.7205882352941176,0.6963667820069204,0.6513840830449827,0.5363321799307958,0.3892733564013841,0.19896193771626297,0.06487889273356401,0.0017301038062283738,0.0,0.0,0.0,0.511336732835549,0.9282341831916903,0.9178470254957507,0.9131255901794145,0.898961284230406,0.8800755429650614,0.8574126534466477,0.8347497639282342,0.8168083097261567,0.7865911237016053,0.7601510859301227,0.7110481586402266,0.5854579792256847,0.42492917847025496,0.21718602455146366,0.0708215297450425,0.0018885741265344666,0.0,0.0,0.0,0.5581730530291735,0.6021777734757495,0.6080412264560751,0.6108399746795113,0.6156248727001848,0.6225731138958936,0.6098732370860688,0.6027383285102457,0.5962220070622231,0.5670725836955595,0.5458564019722426,0.5028267517136189,0.42028965104641436,0.37311079051028007,0.28422469970013364,0.15625015671075954,0.013743128435782109,0.0,0.0,0.0,0.406919194613197,0.6698637172774355,0.6724642935627351,0.6742369650411895,0.6795737244564316,0.6849473691961447,0.6659088599916925,0.655838441965223,0.6487132783724064,0.6158948911628974,0.5917833868815011,0.5472429629867641,0.45004085887868045,0.4032921795477085,0.2837814909764703,0.16003010674197113,0.017385392385392384,0.0,0.0,0.0,0.4432104168118233,0.5964953765900806,0.6024485230139413,0.6049147908133702,0.6115803955018346,0.6198629432801184,0.6292137434317094,0.6373187972369735,0.643175589541018,0.6513181314585635,0.657645660041964,0.6666368172543283,0.6854057368514951,0.7078109943890764,0.738448815045987,0.7673278371027219,0.8054163627593849,1.0,1.0,1.0,0.7171063428585561,0.6470021723486686,0.6465810209664933,0.6464103661972902,0.6442602497121832,0.6402149723681009,0.6214103427428269,0.6082905818477529,0.5955840066795266,0.5580148899385194,0.5293989565991001,0.478125921583354,0.3812414449912636,0.30197167511998146,0.17918212833956684,0.07493022991619204,0.003662944054634162,0.0,0.0,0.0,0.39769904754765545,983.0,972.0,967.0,952.0,932.0,908.0,884.0,865.0,833.0,805.0,753.0,620.0,450.0,230.0,75.0,2.0,0.0,0.0,0.0,591.1052631578947,173.0,184.0,189.0,204.0,224.0,248.0,272.0,291.0,323.0,351.0,403.0,536.0,706.0,926.0,1081.0,1154.0,1156.0,1156.0,1156.0,564.8947368421053,76.0,87.0,92.0,107.0,127.0,151.0,175.0,194.0,226.0,254.0,306.0,439.0,609.0,829.0,984.0,1057.0,1059.0,1059.0,1059.0,467.89473684210526,0.5147058823529411,0.6567506200483324,0.5285467128027682,0.722318339100346,0.7884796978281398,0.5,0.5,0.0,0.266770560329029,0.7539503386004515,1.2513966480446927,0.5275050865201938,548.3867677403575,835,321,224,16,5,5,0,23.0,179,0.5372460496613995,0.5147058823529411,0.5618508026440038,595,561,464,1059,1156,21,10
COMBINED,0.6253413797994315,0.6396142442500328,0.39997725403868606,0.6253413797994315,0.6164547144386433,0.6084392401551869,0.6036744108843182,0.6001148033073808,0.5932538091212511,0.5844651326324698,0.5754891474376929,0.5561231930676389,0.5337020645445416,0.5018775154934233,0.44358984514002775,0.35273270697557624,0.24166455195548944,0.15148012110078837,0.0830918036796869,0.031977001159752626,0.008491064254930483,0.00051535082551812,0.40591988715651306,0.685918909552963,0.6564521620701396,0.6287244727150988,0.612707182320442,0.6005044412764557,0.5916030534351145,0.5790327815644272,0.5673324742268041,0.549034175334324,0.5260351317440402,0.49233128834355827,0.4321460111863409,0.3370282154635398,0.22246419298098669,0.12546267735965452,0.059989832231825115,0.019275089042530905,0.0038517091959557053,6.852131012744963e-05,0.40473485901864886,0.5701138076865657,0.5788943001653574,0.5888084924735758,0.5947748041346409,0.5997254181553318,0.5949091709268448,0.5899484487564921,0.5837630910691757,0.5633037427577627,0.5414807424643708,0.5116088425037978,0.4553367279063139,0.3691689801080697,0.2625220485565462,0.18289285364866933,0.11509030083736202,0.053049228510155734,0.01871848795258511,0.003875968992248062,0.4093676556634666,0.8897213065627809,0.8666466886424933,0.8441714114474078,0.8308360803116572,0.8204974528019179,0.8128558585555888,0.8019178903206473,0.791579262810908,0.7750973928678454,0.7538207971231645,0.7214563979622415,0.6598741384477075,0.5512436320047948,0.39796224153431226,0.24378183997602637,0.1237638597542703,0.04135451003895715,0.008390770152831885,0.00014983518130056938,0.5755327034998344,0.7496528216134326,0.730210831965661,0.7112738290619871,0.7000378740058073,0.6913268526701174,0.6848882716828684,0.6756722636030804,0.6669612422673905,0.6530741068046964,0.6351470773892185,0.6078777932079283,0.5559904052518622,0.46446155788410554,0.33531119808105037,0.20540335816184827,0.10427976265623028,0.034844085342759755,0.007069814417371544,0.00012624668602449185,0.484926810144918,0.6398208641607294,0.6481740949733599,0.6573656805560485,0.6614640072742186,0.6662952670935952,0.663461582046426,0.6611394877238127,0.6580013626847374,0.6442939210382782,0.6300213956584996,0.6088835740262715,0.564600328349721,0.48992372422318425,0.3783698334192902,0.27858075595075615,0.19041007769296822,0.09710867588721003,0.03186919043569627,0.0064516129032258064,0.482959759794633,0.7685773654713853,0.775945939917241,0.7876702083754323,0.7952410864715321,0.8017213349960306,0.7972749320582923,0.7927470327820889,0.7867328645589392,0.7716152973107301,0.7516752381260461,0.7244781583895229,0.6726739431182656,0.5888098870594297,0.462627759304068,0.3465417024436777,0.24028534511891564,0.11400319945309251,0.05480211135187398,0.009615384615384616,0.5812125679432605,0.6396142442500328,0.6546170628893037,0.6687805349831828,0.6766714660064783,0.6824098710693262,0.6862390486875707,0.6911272785508777,0.6952536062173728,0.7009301767627407,0.7073140180860386,0.7154365080163563,0.728227806359277,0.7482380586700407,0.7758764619338828,0.8082754782778846,0.8425001991752838,0.8793271010381638,0.9177363223028755,0.9510817890753845,0.7457714227553723,0.7122095210430518,0.7083056037561192,0.7050214863134591,0.7029654094870946,0.7014792783660931,0.6953958620069104,0.687815538807277,0.6797755197745466,0.6607686905447635,0.638889227418443,0.6075388651587827,0.548146815215392,0.4511120142694918,0.3232241681801389,0.21115386896985505,0.11934831315067697,0.04683828405249457,0.012532459057132178,0.0007620738262588958,0.48490963154726213,5938.0,5784.0,5634.0,5545.0,5476.0,5425.0,5352.0,5283.0,5173.0,5031.0,4815.0,4404.0,3679.0,2656.0,1627.0,826.0,276.0,56.0,1.0,3841.1052631578946,736.0,890.0,1040.0,1129.0,1198.0,1249.0,1322.0,1391.0,1501.0,1643.0,1859.0,2270.0,2995.0,4018.0,5047.0,5848.0,6398.0,6618.0,6673.0,2832.8947368421054,1983.0,2137.0,2287.0,2376.0,2445.0,2496.0,2569.0,2638.0,2748.0,2890.0,3106.0,3517.0,4242.0,5265.0,6294.0,7095.0,7645.0,7865.0,7920.0,4079.8947368421054,0.3308360803116572,0.7068005518943397,0.3507641594246329,0.7688043152532215,0.6477717459916678,0.5,0.30434782608695654,0.1956521739130435,0.10542307937816257,0.7031175059952038,2.3445378151260505,0.3504459317289531,3626.593631769857,5131,1543,2790,133,23,14,9,141.0,1190,0.5404590613223706,0.5909499550494456,0.49791692968059587,3944,2730,3977,7921,6674,117,46
