seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT16-02,0.41919579818761804,0.8194526688678405,0.34351111560302827,0.41919579818761804,0.41919579818761804,0.41919579818761804,0.4190735270149797,0.419012959253597,0.41892387800497954,0.4187378960523657,0.41796697462441734,0.41716247687351565,0.4145830696326642,0.41006266159900895,0.40491560295362244,0.3962610871940162,0.37974311867261323,0.3468252224231196,0.27521371960605384,0.16340591702154864,0.06481176449968035,0.0067795619731053245,0.34900351747169167,0.38152362800605416,0.38152362800605416,0.38152362800605416,0.38136875735665043,0.3812913350521242,0.38113651647612645,0.38074962182755334,0.37997648244582566,0.3783557046979866,0.3754325259515571,0.3700038912668853,0.36514706696947874,0.3538233355306526,0.33331529971867563,0.29970467250290056,0.2285643070787637,0.1315426997245179,0.047787083882487986,0.004033243705695429,0.3124633383266339,0.4605877705046506,0.4605877705046506,0.4605877705046506,0.46050605262490135,0.46046643047488894,0.4604576260110824,0.4605163486407252,0.45975580054903864,0.45994953941597744,0.457816277879505,0.4544584270773927,0.4490153703713034,0.44378884447710604,0.4326379146139227,0.4013542194864587,0.3313841624156066,0.20298727161273558,0.08790167711198969,0.011395904612030062,0.3903239567836114,0.3816519934952055,0.3816519934952055,0.3816519934952055,0.3815398418662031,0.3814837660517019,0.3813716144226995,0.38109123535019346,0.3805304772051814,0.37935288510065607,0.37722200414961027,0.37324062132002467,0.36965176919194753,0.36118432120226546,0.3454830931419279,0.3186788538103516,0.2571076094880278,0.16065720854595414,0.06302921549935513,0.0055515056356193575,0.31905957907722826,0.9991192014092778,0.9991192014092778,0.9991192014092778,0.998825601879037,0.9986788021139166,0.9983852025836759,0.997651203758074,0.9961832061068703,0.9931004110393423,0.9875220199647681,0.9770992366412213,0.9677040516735174,0.9455372871403406,0.9044333529066354,0.8342630651790958,0.6730769230769231,0.42058132706987666,0.1650029359953024,0.014533176746917205,0.8352597583212289,0.4653011782440078,0.4653011782440078,0.4653011782440078,0.46524786681296054,0.4652219343126146,0.46522812612783176,0.4653133759496116,0.4648903155042222,0.46523569683584753,0.46412744910843623,0.46251891022593805,0.4592847019258922,0.4564251972703028,0.4508325978779896,0.43142657610598145,0.38085825787114097,0.26285412522977075,0.12902629882873576,0.017170990893749464,0.40534557661121307,0.9494804774706135,0.9494804774706135,0.9494804774706135,0.9491977468498637,0.9490584915246707,0.9488396145177099,0.948531177860851,0.9476393519204385,0.9463486080985318,0.9430694113835812,0.9365765130645828,0.9303019092937991,0.914207877092508,0.890539334798956,0.8393083342126353,0.717142314997588,0.503097873518555,0.2433028334063502,0.039756539715803126,0.8155452297193824,0.8194526688678405,0.8194526688678405,0.8194526688678405,0.8196388683708206,0.8197228245328873,0.8198773852136715,0.8202405528723065,0.8208991953137076,0.8221418062512379,0.8240638779974329,0.8272309873227118,0.8296567181106137,0.8344056504734182,0.8416090412824243,0.851185681779528,0.8686261141267244,0.8939889417771192,0.9242444567513045,0.9605063107289984,0.844020864184654,0.4192663124943526,0.4192663124943526,0.4192663124943526,0.4191675160325932,0.4191186801348096,0.41905306132408826,0.418925702484885,0.4182715555482776,0.4177118441918651,0.41556993860723584,0.4118523348076191,0.40740560385459834,0.40036180206108735,0.3866123186750408,0.35763543258169056,0.2918927711007399,0.1805861800572278,0.07443368692632611,0.00795389393169569,0.352860592621202,6806.0,6806.0,6806.0,6804.0,6803.0,6801.0,6796.0,6786.0,6765.0,6727.0,6656.0,6592.0,6441.0,6161.0,5683.0,4585.0,2865.0,1124.0,99.0,5689.789473684211,11027.0,11027.0,11027.0,11029.0,11030.0,11032.0,11037.0,11047.0,11068.0,11106.0,11177.0,11241.0,11392.0,11672.0,12150.0,13248.0,14968.0,16709.0,17734.0,12143.21052631579,6.0,6.0,6.0,8.0,9.0,11.0,16.0,26.0,47.0,85.0,156.0,220.0,371.0,651.0,1129.0,2227.0,3947.0,5688.0,6713.0,1122.2105263157894,0.37301631806201985,0.8188831078930907,0.37604441204508493,0.37901643021364884,0.9922196124486201,0.12962962962962962,0.5,0.37037037037037035,0.3043700401642685,0.5485088253195375,0.08833333333333333,0.37594726665396605,5534.8309262494,6759,11074,53,54,7,27,20,143.0,600,0.46321769121525663,0.32008074917288176,0.8379330593071052,5708,12125,1104,6812,17833,78,54
MOT16-09,0.3966047121295313,0.7531248591287544,0.29869286795235345,0.3966047121295313,0.3965272491618555,0.3965272491618555,0.3962292470980381,0.3956878338249953,0.394473445323596,0.39356536954148813,0.3922036105607229,0.3892487648866039,0.3855460561412304,0.3791023574742709,0.3697896263250279,0.34807795061400104,0.30368507255670046,0.20592501410427058,0.12040062516260282,0.06148013224884928,0.01907530884695048,0.0030249296618408707,0.30248287130654905,0.3711633194391815,0.3706439393939394,0.3706439393939394,0.36960635881907644,0.36857034795763993,0.3667610953729934,0.36547169811320757,0.36392762909913307,0.36161806208842895,0.3572768192048012,0.34968295412159645,0.3377079482439926,0.3108132584676689,0.2623408337694052,0.18309628903057054,0.10236100533130237,0.04414947338046458,0.013159736805263895,0.0019382528035442337,0.2774175242545342,0.4237899852846926,0.4242180772872479,0.4242180772872479,0.42476979226628775,0.42480048301419965,0.42427973148900805,0.42381859088401597,0.4226765429094859,0.4189906889349342,0.41605207339480044,0.41099686372637456,0.40491900900954375,0.3898104614357883,0.3515450567441319,0.2316000595007357,0.1416194623394595,0.08561385611019542,0.027650052048229443,0.004720849335212068,0.33032051121061007,0.37264599581510366,0.37226555069431233,0.37226555069431233,0.3715046604527297,0.370743770211147,0.3694122122883774,0.3684610994863991,0.3673197641240251,0.36560776108046417,0.36237397755373785,0.356667300741868,0.34753661784287615,0.32642191363895756,0.286094730835077,0.21304926764314247,0.1278295605858855,0.05820810348107285,0.017880920677192314,0.002663115845539281,0.2857343091416958,0.9893939393939394,0.9883838383838384,0.9883838383838384,0.9863636363636363,0.9843434343434343,0.9808080808080808,0.9782828282828283,0.9752525252525253,0.9707070707070707,0.9621212121212122,0.946969696969697,0.9227272727272727,0.8666666666666667,0.7595959595959596,0.5656565656565656,0.3393939393939394,0.15454545454545454,0.047474747474747475,0.007070707070707071,0.7586390217969164,0.48819554090345163,0.4886892491304186,0.4886892491304186,0.4892005438817827,0.48907711519314734,0.48779085530319194,0.4867157222306545,0.4851695002736472,0.4826830490184671,0.4808204938126239,0.4761347501290679,0.4716910842402956,0.4589993155078933,0.42997579428626925,0.31576956849674265,0.19529464707824176,0.11410900276552038,0.0412283192846216,0.010706898452067019,0.3884705631115012,0.8155233301753338,0.8162432200261914,0.8162432200261914,0.8172996493642564,0.8170618480970065,0.8175686886849713,0.8180716680327702,0.8158579679095549,0.8113392514428862,0.8060431399172175,0.7996577564393897,0.7845544989409811,0.7535239754165116,0.6937342121426773,0.5478159497858344,0.4032599492281669,0.29515224991300537,0.10494157101059562,0.01949848996630062,0.6607047703431496,0.7531248591287544,0.7538187593395812,0.7538187593395812,0.7549863782019376,0.7560688766128147,0.7577880240901275,0.7589282990576766,0.7601251856760276,0.7616883732874257,0.7642379655337207,0.7680815370579486,0.7731148627585444,0.7824307365157941,0.797125255398891,0.8209769689885003,0.852743358337239,0.8892100596084304,0.9240557937759047,0.9593328506974504,0.7969293107055974,0.3973960758272311,0.39739372938663703,0.39739372938663703,0.3972454624617678,0.3968527846194363,0.39589659538631194,0.39517168924392965,0.39402721738767077,0.39139014767245034,0.3882865497355703,0.38286961488039156,0.37513222054559103,0.3567109148573324,0.3171359146889773,0.22213109431761227,0.13454796037570568,0.07059334384965722,0.02223529598171856,0.0035457254080098815,0.30715558242171775,1959.0,1957.0,1957.0,1953.0,1949.0,1942.0,1937.0,1931.0,1922.0,1905.0,1875.0,1827.0,1716.0,1504.0,1120.0,672.0,306.0,94.0,14.0,1502.1052631578948,3298.0,3300.0,3300.0,3304.0,3308.0,3315.0,3320.0,3326.0,3335.0,3352.0,3382.0,3430.0,3541.0,3753.0,4137.0,4585.0,4951.0,5163.0,5243.0,3754.8947368421054,21.0,23.0,23.0,27.0,31.0,38.0,43.0,49.0,58.0,75.0,105.0,153.0,264.0,476.0,860.0,1308.0,1674.0,1886.0,1966.0,477.89473684210526,0.35134106905078943,0.7635680867112659,0.35799885866463765,0.3673197641240251,0.9752525252525253,0.08,0.6,0.32,0.2644949544301797,0.5336465386209756,0.09333333333333334,0.3577051420878162,1474.4499754394544,1931,3326,49,35,2,15,8,102.0,525,0.4101146884067984,0.2822902796271638,0.7494949494949495,1484,3773,496,1980,5257,38,25
MOT16-11,0.5128993422401493,0.7963566800452415,0.40845081738375344,0.5128993422401493,0.5128993422401493,0.5128421224851305,0.5128421224851305,0.5128421224851305,0.5128421224851305,0.5126408281710298,0.512444673211781,0.5115969979660112,0.5110299170241803,0.5091701354917693,0.5039210969349659,0.48213640487710163,0.43357260927224767,0.3471810124282548,0.21942191498724015,0.10611444651370973,0.03852971583417366,0.004100327020721264,0.4088961712712635,0.4314875135722041,0.4314875135722041,0.43117672600955276,0.43117672600955276,0.43117672600955276,0.43117672600955276,0.43102138282861174,0.43086607336661603,0.43009003145677405,0.42946980375149085,0.42792158561680926,0.4229897463572585,0.4032996274614156,0.3632509564677903,0.29128305582762,0.18518518518518517,0.08554960889254837,0.02511468781587746,0.002128306476132563,0.34293957803614467,0.609671721650775,0.609671721650775,0.6099750444072594,0.6099750444072594,0.6099750444072594,0.6099750444072594,0.6097159657909073,0.6094690655295293,0.6085504642860807,0.6080790169938324,0.6058451725519192,0.6003371810381042,0.5763841498466444,0.5175078115116096,0.41380592856056775,0.25998827459400525,0.13162276139747225,0.05911039042753499,0.00789955857645463,0.4877662822123815,0.43318072814475694,0.43318072814475694,0.4329627207325049,0.4329627207325049,0.4329627207325049,0.4329627207325049,0.43285371702637887,0.4327447133202529,0.43219969478962283,0.43176367996511883,0.43067364290385873,0.42718552430782647,0.4130150425114454,0.3829300196206671,0.32417702201874865,0.22454763461957705,0.11325485066492261,0.035208197078700675,0.003052103771528232,0.3516746411483254,0.9910224438902743,0.9910224438902743,0.9905236907730673,0.9905236907730673,0.9905236907730673,0.9905236907730673,0.9902743142144639,0.9900249376558603,0.9887780548628429,0.9877805486284289,0.985286783042394,0.9773067331670823,0.9448877805486284,0.8760598503740649,0.741645885286783,0.513715710723192,0.25910224438902746,0.08054862842892768,0.006982543640897756,0.8045544034650216,0.6233028347286191,0.6233028347286191,0.6236069999176914,0.6236069999176914,0.6236069999176914,0.6236069999176914,0.6234187533750822,0.6232356055890514,0.6225399511907448,0.6221615962850835,0.620793807769137,0.617731214602099,0.603797688985598,0.5645472230697284,0.4829304255213928,0.3406044084489849,0.18986996930539068,0.08879552167813858,0.012636401750993453,0.5133734861420752,0.9735212799201777,0.9735212799201777,0.9740056508095425,0.9740056508095425,0.9740056508095425,0.9740056508095425,0.9738102354609678,0.9736213503287094,0.9726742109391519,0.9719804851002516,0.9697894596179157,0.9624980890752265,0.9367989268476791,0.8790265122761554,0.7669486419257133,0.5705197456303335,0.3414054433555957,0.16762397455042297,0.05075202482326403,0.8095007506847324,0.7963566800452415,0.7963566800452415,0.7966906274519434,0.7966906274519434,0.7966906274519434,0.7966906274519434,0.7968066356043428,0.7969072125760562,0.7973667129195815,0.7976867446676525,0.7983450502570767,0.8001313940276789,0.8060128771734718,0.8160816096516672,0.8321167935123446,0.856864909683166,0.8889046741937682,0.9237135006592977,0.9620138565521874,0.8238119916513974,0.5139046996418211,0.5139046996418211,0.513903157030094,0.513903157030094,0.513903157030094,0.513903157030094,0.5137293276842609,0.513560625476816,0.5128501973564282,0.5123928513229171,0.5108048037153252,0.5064142113361799,0.48790913513874196,0.44516207881623204,0.3662599809076442,0.24161902261392615,0.12209388267302937,0.04561984519451588,0.004910221229700895,0.4140393795194598,3974.0,3974.0,3972.0,3972.0,3972.0,3972.0,3971.0,3970.0,3965.0,3961.0,3951.0,3919.0,3789.0,3513.0,2974.0,2060.0,1039.0,323.0,28.0,3226.2631578947367,5200.0,5200.0,5202.0,5202.0,5202.0,5202.0,5203.0,5204.0,5209.0,5213.0,5223.0,5255.0,5385.0,5661.0,6200.0,7114.0,8135.0,8851.0,9146.0,5947.736842105263,36.0,36.0,38.0,38.0,38.0,38.0,39.0,40.0,45.0,49.0,59.0,91.0,221.0,497.0,1036.0,1950.0,2971.0,3687.0,3982.0,783.7368421052631,0.4247874427730543,0.7976163589809823,0.42685851318944845,0.4319816873773708,0.9882793017456359,0.057971014492753624,0.36231884057971014,0.5797101449275363,0.3373614160280829,0.6011832524271845,0.052222222222222225,0.42671912430772263,3160.9536306416326,3963,5211,47,19,4,25,40,85.0,900,0.5330703883495146,0.3830390233267931,0.8763092269326683,3514,5660,496,4010,9174,55,69
COMBINED,0.4445216993820476,0.8020478773724423,0.3565276854353622,0.4445216993820476,0.4445076081198731,0.4444933531846972,0.44437917062760074,0.44426237763144566,0.4440277665399548,0.4437240576856583,0.44304660573434046,0.4419034106390603,0.43979479875822136,0.43582753304587035,0.43003590273493847,0.41526133450161096,0.3845844311723812,0.32689293481726794,0.23866058183532818,0.1349920062170894,0.05261528925512462,0.005613153499376347,0.3610075797569415,0.3940668790794073,0.39398063658016025,0.3938944047508583,0.39363577326282584,0.3934203203265104,0.3930326728694631,0.39255917434027565,0.3918280366904475,0.3903251681372247,0.38779909463246387,0.3830714461085195,0.3769860669762894,0.36068840579710143,0.3298512747875354,0.27705517300008503,0.19383294921719782,0.10304484041511651,0.03540493968983343,0.0031385642737896493,0.31513767478605814,0.5014365624513341,0.5015145297280345,0.5015921491709014,0.5016638748323925,0.501674799143428,0.5016393574076806,0.5015576051684824,0.5009603103205033,0.5002972912722369,0.4987620334650278,0.4958491176787943,0.49055096153642397,0.4780912642616598,0.4483996152370582,0.38569570701866596,0.2938554747890288,0.17684380575586242,0.07819159381862674,0.010038823315068616,0.4141376250721689,0.39483635011157947,0.3947743615174808,0.39471237292338207,0.39452640714108606,0.3943714356558393,0.39409248698239524,0.3937515497148525,0.3932246466650136,0.39213984626828663,0.3903111827423754,0.38687081576989835,0.38240763699479297,0.37025787255145054,0.3464542524175552,0.30303124225142575,0.22678527151004216,0.1304859905777337,0.047762211753037444,0.004370195883957352,0.3229034804964308,0.9950788939228246,0.994922668333073,0.9947664427433214,0.9942977659740666,0.9939072019996875,0.9932041868458054,0.9923449461021715,0.991017028589283,0.9882830807686299,0.9836744258709577,0.9750039056397438,0.9637556631776285,0.9331354475863146,0.8731448211216998,0.763708795500703,0.5715513201062334,0.32885486642712075,0.1203718169036088,0.011013904077487893,0.8137914306152821,0.518111339113754,0.5181918932942199,0.5182702538947795,0.5183378232123164,0.5183183841805432,0.5181496917394615,0.517997003035799,0.5175260771048001,0.5171836243897648,0.5163607141865095,0.5146639046187875,0.5114502347242768,0.5035381688093082,0.4837643249934513,0.4338441479213733,0.35248301169614166,0.23403071775245685,0.11523814107611434,0.015628680325091855,0.4391099018983658,0.9363802417678986,0.9365098278761905,0.9366550888317045,0.9367018720866028,0.9366275467462201,0.9366517543670202,0.9365414948628245,0.9357120784244046,0.9340891259432131,0.931434512300623,0.9265221694625945,0.9189464472941894,0.8982915797751075,0.8604409764166299,0.7839059413089509,0.647035516761481,0.44807891965570157,0.2190002830652305,0.039928602740738374,0.7947081041940698,0.8020478773724423,0.802162174989548,0.8022672437048451,0.8025584436532773,0.8027827560558572,0.8031510508737969,0.8035672278479029,0.8041416652373431,0.8051939131737432,0.8067170830825887,0.8092023415453721,0.8119057280952747,0.8179340976201802,0.8276010361573856,0.8419246986525407,0.8638562230450975,0.8923868296719599,0.9241216578302104,0.9606891677687688,0.830747958756744,0.44495548331353535,0.44495514185715895,0.4449546352595796,0.44488160911651464,0.44479906786160034,0.4446260247995426,0.44439743958123795,0.4438354886880672,0.442929455882012,0.4412169525173837,0.43798350728672364,0.4331171135231988,0.4207339472766079,0.39414458448807127,0.3418740253790982,0.2581512998897008,0.15190667915397937,0.06111140205618542,0.006623565832033978,0.3656419696716964,12739.0,12737.0,12735.0,12729.0,12724.0,12715.0,12704.0,12687.0,12652.0,12593.0,12482.0,12338.0,11946.0,11178.0,9777.0,7317.0,4210.0,1541.0,141.0,10418.157894736842,19525.0,19527.0,19529.0,19535.0,19540.0,19549.0,19560.0,19577.0,19612.0,19671.0,19782.0,19926.0,20318.0,21086.0,22487.0,24947.0,28054.0,30723.0,32123.0,21845.842105263157,63.0,65.0,67.0,73.0,78.0,87.0,98.0,115.0,150.0,209.0,320.0,464.0,856.0,1624.0,3025.0,5485.0,8592.0,11261.0,12661.0,2383.842105263158,0.38420530622365484,0.8037804893962291,0.3875526903049839,0.39217084056533597,0.9883611935635057,0.08783783783783784,0.4527027027027027,0.4594594594594595,0.30725373581485516,0.5615319753250788,0.07358024691358024,0.38748966576507915,10170.234532330487,12653,19611,149,108,13,67,68,330.0,2025,0.47512537167709584,0.3318249442102653,0.8362755819403218,10706,21558,2096,12802,32264,171,148
