seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
KITTI-17,0.6466211342111972,0.6779332632229877,0.43836597558474644,0.6466211342111972,0.6466211342111972,0.6447411382587576,0.6434392723190626,0.6352831504580271,0.6348145698187594,0.6339313026333689,0.6192185720078062,0.5927433150382423,0.5661563314508175,0.5425561602558603,0.486048023193372,0.4016992774162616,0.2623160701844659,0.16041894170120838,0.07840208040340511,0.04328930879196027,0.009299685428929947,0.0,0.4340841825148789,0.6652046783625731,0.6652046783625731,0.6603498542274052,0.6579330422125182,0.6459537572254336,0.6435786435786436,0.6412103746397695,0.6225071225071225,0.593006993006993,0.5667125171939478,0.5391891891891892,0.4773022049286641,0.38902439024390245,0.23939064200217627,0.13220675944333996,0.05268022181146026,0.024280575539568347,0.003524229074889868,0.0,0.43259262492369316,0.6285567507399238,0.6285567507399238,0.6295013661349981,0.6292647892712987,0.624788813040417,0.62616984276131,0.6267348632408031,0.6159473941039117,0.5924797543127485,0.5656006915621926,0.5459441563994265,0.4949540949334032,0.41478712780856514,0.2874369695553768,0.1946514456968038,0.11668299791108289,0.0771795649008328,0.024539877300613498,0.0,0.43809353949545426,0.6661786237188873,0.6661786237188873,0.6632503660322109,0.6617862371888726,0.6544655929721815,0.6530014641288433,0.6515373352855052,0.6398243045387995,0.6207906295754027,0.6032210834553441,0.5841874084919473,0.5387994143484627,0.4670571010248902,0.32210834553440704,0.19472913616398244,0.08345534407027819,0.03953147877013177,0.005856515373352855,0.0,0.45873468444170457,0.9978070175438597,0.9978070175438597,0.993421052631579,0.9912280701754386,0.9802631578947368,0.9780701754385965,0.9758771929824561,0.9583333333333334,0.9298245614035088,0.9035087719298246,0.875,0.8070175438596491,0.6995614035087719,0.4824561403508772,0.2916666666666667,0.125,0.05921052631578947,0.008771929824561403,0.0,0.6870960295475531,0.6286091710130071,0.6286091710130071,0.6298033712280771,0.6297398021702502,0.6274668067695329,0.6288536637994453,0.629444675047227,0.6230868976343841,0.6088718839828949,0.5908569827921485,0.577942694192401,0.5436563627448839,0.4798247042659587,0.3576824322140324,0.2562528277215398,0.16458972521787832,0.11469565995516326,0.039603960396039604,0.0,0.46103109432409856,0.9920540997464073,0.9920540997464073,0.991996377426841,0.9902087587928297,0.98065580951487,0.9817335131236478,0.9805688693329143,0.9640353497511902,0.938570721967144,0.9131416905483131,0.8881362717916909,0.8262263688292998,0.7348111473660258,0.5497317252095952,0.39258876798399883,0.25353508809747966,0.1799435165462723,0.06060606060606061,0.0,0.7163472755989994,0.6779332632229877,0.6779332632229877,0.6803713360164316,0.6815381990969748,0.686693165167077,0.6876517886197144,0.6884190685013594,0.6940013602892074,0.7022199206324546,0.7088431427444533,0.714708556324987,0.7266486201524657,0.742524195755543,0.7735285048958376,0.8050728759119814,0.8460575042553328,0.8717902827936038,0.9120588908670627,1.0,0.751473365182656,0.6470943293965248,0.6470943293965248,0.6461555629311058,0.6453206777155848,0.6394550656683251,0.6394449343895556,0.6390157765864927,0.6277723417489983,0.6064700154916902,0.5841080909962109,0.5647421552428181,0.5164116347251396,0.4401468771406984,0.3042792249051948,0.19469028705513006,0.09868039186090098,0.05523606006374169,0.011988251276613938,0.0,0.44779505297848693,455.0,455.0,453.0,452.0,447.0,446.0,445.0,437.0,424.0,412.0,399.0,368.0,319.0,220.0,133.0,57.0,27.0,4.0,0.0,313.3157894736842,228.0,228.0,230.0,231.0,236.0,237.0,238.0,246.0,259.0,271.0,284.0,315.0,364.0,463.0,550.0,626.0,656.0,679.0,683.0,369.6842105263158,1.0,1.0,3.0,4.0,9.0,10.0,11.0,19.0,32.0,44.0,57.0,88.0,137.0,236.0,323.0,399.0,429.0,452.0,456.0,142.68421052631578,0.5373352855051244,0.7079862604396265,0.5475841874084919,0.6076134699853587,0.9100877192982456,0.0,1.0,0.0,0.35990380392744514,0.7287093942054433,0.2827586206896552,0.5463468549926584,293.814298082445,415,268,41,7,0,9,0,14.0,145,0.684811237928007,0.5710102489019033,0.8552631578947368,390,293,66,456,683,13,9
PETS09-S2L1,0.702120288706445,0.6938757029829073,0.4871842089047464,0.702120288706445,0.7011856588037471,0.7001489529862002,0.6991882382080291,0.6981481272809462,0.6941511849335545,0.6858742811747425,0.6758206620743028,0.655822810708844,0.629871059922488,0.5953088751852184,0.532405032432499,0.4207144806991003,0.2868183814794109,0.18085155554779234,0.09865088904913312,0.03676280833848693,0.008718200649216652,0.000629150353009517,0.47385213887016664,0.7860660222505927,0.7837887067395264,0.7818413391557496,0.7795747773941486,0.77699147160225,0.7715267727930536,0.7606975907946781,0.7465667915106118,0.7238162295370534,0.6925337020394055,0.6489307964303754,0.579516129032258,0.4562081784386617,0.30643009605122734,0.1760538008886754,0.0863006100942873,0.02651991614255765,0.0049256028732683425,0.00010212418300653595,0.5204416135763887,0.6271393061893028,0.6272880993109751,0.6269923727709397,0.6270908277491394,0.6273052220519132,0.6245355113216574,0.6184106999544093,0.6117785742416818,0.5942165172520913,0.5728783320718505,0.5461177968802304,0.4891237781988846,0.3879822472181125,0.26846182869947705,0.18578005688578178,0.11276858760965568,0.05096185333570898,0.015431009059317003,0.003875968992248062,0.432533609989125,0.9629133154602324,0.961349419124218,0.9600089365504915,0.9584450402144772,0.9566577301161752,0.9528596961572833,0.9452636282394995,0.9352100089365505,0.9186773905272565,0.895218945487042,0.8610366398570152,0.8027256478999106,0.6854334226988382,0.5131814119749777,0.32752457551385167,0.17381590705987487,0.0565236818588025,0.010723860589812333,0.00022341376228775692,0.6777785616857156,0.8106074854241113,0.8092909535452323,0.8081624976490502,0.8068459657701712,0.8053413579085951,0.8021440662027459,0.7957494827910476,0.7872860635696821,0.7733684408501035,0.7536204626669174,0.724844837314275,0.6757570058303555,0.5770171149144254,0.43201053225503105,0.27571939063381606,0.14632311453827346,0.04758322362234343,0.00902764716945646,0.0001880759826970096,0.57057303782307,0.6850569654071619,0.6854008122576963,0.6855011657104012,0.6858047475850695,0.6861896561320245,0.6848728634825276,0.68194471508361,0.6785712363524529,0.6670580219939022,0.6534609292301493,0.6358652039771608,0.5947343548087164,0.509482219326392,0.38617644095392184,0.28374867163306633,0.18828958245475935,0.09571048522068147,0.027746303160894478,0.0064516129032258064,0.501161367772306,0.8242826088923016,0.8244060328250161,0.8245719071635889,0.8242820045683696,0.8247704198322438,0.8224779381672784,0.817012253585255,0.8096353591765484,0.797079679845499,0.7777347360108492,0.7532603186809411,0.7053430019634713,0.608053557778735,0.46902581403455496,0.3481434673588235,0.23413022595866975,0.10419851085531119,0.042474156365546106,0.009615384615384616,0.6010788093514942,0.6938757029829073,0.694875917850531,0.6956798065254661,0.6965257120899857,0.6974058995917285,0.6990578226546904,0.7020588829308848,0.7055475781489442,0.7105589002450093,0.7167040894585135,0.7242939568528088,0.7349252978652071,0.7533225067469757,0.7789823071746347,0.8098804403721689,0.841831814838693,0.8784139977100255,0.9171965325272748,0.9510817890753845,0.7580115239811491,0.7770976699091121,0.7765584652143975,0.7758339261782119,0.7752625965569044,0.7746717949029811,0.7714238248572494,0.7645659827516743,0.7564003211816831,0.7388459105099965,0.7161365346983335,0.6857313123898233,0.6266037039133681,0.5156898289253896,0.3711733022637569,0.24667292974798613,0.14000347975401636,0.05367077030267562,0.012863902592613436,0.0009305615589894229,0.5410598325373243,4310.0,4303.0,4297.0,4290.0,4282.0,4265.0,4231.0,4186.0,4112.0,4007.0,3854.0,3593.0,3068.0,2297.0,1466.0,778.0,253.0,48.0,1.0,3033.7368421052633,166.0,173.0,179.0,186.0,194.0,211.0,245.0,290.0,364.0,469.0,622.0,883.0,1408.0,2179.0,3010.0,3698.0,4223.0,4428.0,4475.0,1442.2631578947369,1007.0,1014.0,1020.0,1027.0,1035.0,1052.0,1086.0,1131.0,1205.0,1310.0,1463.0,1724.0,2249.0,3020.0,3851.0,4539.0,5064.0,5269.0,5316.0,2283.2631578947367,0.6088025022341377,0.7166131387168411,0.6324843610366399,0.9101876675603218,0.7662215535076171,0.8947368421052632,0.10526315789473684,0.0,0.35086727594557876,0.8320228734810579,1.5635220125786164,0.6320318798334976,2919.4819271324104,4074,402,1243,106,17,2,0,100.0,795,0.6488307975084244,0.7097855227882037,0.5975173970283995,3177,1299,2140,5317,4476,62,19
TUD-Campus,0.5859240917188968,0.6724868168184942,0.39402622733730835,0.5859240917188968,0.5823817945068304,0.5823817945068304,0.5788415922363118,0.5767448045214479,0.558023752067422,0.545484129194738,0.5447401102618332,0.535968473193011,0.5154511494413654,0.4827695426343207,0.4350256001309981,0.37164753837303244,0.29974828506408596,0.18848593783388445,0.11358451076320497,0.05443450698430879,0.022546440245957797,0.0,0.3986412659830779,0.6840659340659341,0.6657608695652174,0.6657608695652174,0.6612466124661247,0.6522911051212938,0.6346666666666667,0.6131578947368421,0.6089238845144357,0.5922077922077922,0.5558375634517766,0.5135802469135803,0.45260663507109006,0.3561946902654867,0.2665289256198347,0.16318785578747627,0.08112874779541446,0.03898305084745763,0.013223140495867768,0.0,0.4325974992188163,0.5018625020779421,0.5094450125831124,0.5094450125831124,0.5067059438732981,0.5099480384308317,0.4906363044192286,0.4852794651384971,0.4873216427775701,0.48506995017055377,0.4779991582621342,0.4538072340125828,0.4181274822442901,0.3877707797266339,0.3371080050313837,0.21770583717569406,0.15902428468205496,0.07601035542906998,0.03844336131219375,0.0,0.371142651048957,0.6935933147632312,0.6824512534818942,0.6824512534818942,0.6796657381615598,0.6740947075208914,0.6629526462395543,0.649025069637883,0.6462395543175488,0.6350974930362117,0.6100278551532033,0.5793871866295265,0.532033426183844,0.44846796657381616,0.3593314763231198,0.2395543175487465,0.12813370473537605,0.06406685236768803,0.022284122562674095,0.0,0.4730977862483507,0.9803149606299213,0.9645669291338582,0.9645669291338582,0.9606299212598425,0.952755905511811,0.937007874015748,0.9173228346456693,0.9133858267716536,0.8976377952755905,0.8622047244094488,0.8188976377952756,0.7519685039370079,0.6338582677165354,0.5078740157480315,0.33858267716535434,0.18110236220472442,0.09055118110236221,0.031496062992125984,0.0,0.6686697057604641,0.5204120191923519,0.5282186885485247,0.5282186885485247,0.5262851585835596,0.5295851671091748,0.516572826313624,0.5150388501730458,0.5171981361348166,0.5158701968144147,0.5105264591098085,0.4928911960007911,0.46617657369464016,0.4437147626962604,0.40721947100345396,0.29716948330811743,0.23395527755907422,0.1124887732190243,0.056606514084507044,0.0,0.4062183285312481,0.8958488554519738,0.9062886693138795,0.9062886693138795,0.9026259179586085,0.9049998130212035,0.8901394873713213,0.8845405480219921,0.8880996731022086,0.8812887944079895,0.8626000428176093,0.8328034294239045,0.7808026541010834,0.7406321641615758,0.6675758988344488,0.48189265956023825,0.3540784453827932,0.22185477402868709,0.12876984126984126,0.0,0.6911121230285915,0.6724868168184942,0.6821444087672139,0.6821444087672139,0.6841531702280678,0.6879227272121812,0.6946512696370462,0.7023019021629057,0.7036885972496523,0.7085333468473486,0.718076631035685,0.727982466324619,0.7412413985792672,0.76434422156692,0.7873046190362779,0.816626625462961,0.855416953233969,0.8893712376476846,0.9209750609564792,1.0,0.7599666242912625,0.589990234132404,0.5896366571181311,0.5896366571181311,0.5868480803184885,0.5863047618917007,0.5703232735527485,0.5612116700990346,0.5611831441141766,0.5550375746744709,0.5399933344770899,0.5127670978004317,0.47165431934845464,0.4170165141583084,0.3480424070832013,0.22836894108219252,0.14274582564546262,0.06978355264451445,0.029269037825013812,0.0,0.4184112148991555,249.0,245.0,245.0,244.0,242.0,238.0,233.0,232.0,228.0,219.0,208.0,191.0,161.0,129.0,86.0,46.0,23.0,8.0,0.0,169.8421052631579,110.0,114.0,114.0,115.0,117.0,121.0,126.0,127.0,131.0,140.0,151.0,168.0,198.0,230.0,273.0,313.0,336.0,351.0,359.0,189.1578947368421,5.0,9.0,9.0,10.0,12.0,16.0,21.0,22.0,26.0,35.0,46.0,63.0,93.0,125.0,168.0,208.0,231.0,246.0,254.0,84.15789473684211,0.4986072423398329,0.7149771932301316,0.5292479108635098,0.6183844011142061,0.8740157480314961,0.125,0.875,0.0,0.3223535846715578,0.7243066884176182,0.4507042253521127,0.5263470955845174,158.72493689708924,222,137,32,11,1,7,0,18.0,71,0.5611745513866232,0.479108635097493,0.6771653543307087,172,187,82,254,359,12,8
TUD-Stadtmitte,0.6267282945176845,0.5964953765900806,0.3738405300579852,0.6267282945176845,0.623542852479201,0.6221282704364614,0.6163658640518321,0.6077030491096073,0.5844126401286186,0.5668928528831645,0.551131279123612,0.510353013169273,0.4793496799313736,0.4251552245741978,0.32456275436129817,0.24438400078429418,0.13673930001460186,0.055071777694812994,0.0026473934844203945,0.0,0.0,0.0,0.3672193814076028,0.7978896103896104,0.7819790828640386,0.7748397435897436,0.7537608867775138,0.7264224473889321,0.6947207345065034,0.6641622839969947,0.6407407407407407,0.6027496382054993,0.5709219858156028,0.5150478796169631,0.3887147335423197,0.254957507082153,0.11586901763224182,0.035046728971962614,0.0009037505648441031,0.0,0.0,0.0,0.4378277248255613,0.49228408295383935,0.49720727497451456,0.4995143680719503,0.50401511279332,0.5083859911330441,0.4916193183505812,0.483868949492271,0.47405396210217204,0.432120040463891,0.4024649975986802,0.35095176999304234,0.27099817019702394,0.2342489951476253,0.1613687295410406,0.0865387665962556,0.007755117987185497,0.0,0.0,0.0,0.3103892445998125,0.8503460207612457,0.8408304498269896,0.8365051903114187,0.8235294117647058,0.8062283737024222,0.7854671280276817,0.7647058823529411,0.7482698961937716,0.7205882352941176,0.6963667820069204,0.6513840830449827,0.5363321799307958,0.3892733564013841,0.19896193771626297,0.06487889273356401,0.0017301038062283738,0.0,0.0,0.0,0.511336732835549,0.9282341831916903,0.9178470254957507,0.9131255901794145,0.898961284230406,0.8800755429650614,0.8574126534466477,0.8347497639282342,0.8168083097261567,0.7865911237016053,0.7601510859301227,0.7110481586402266,0.5854579792256847,0.42492917847025496,0.21718602455146366,0.0708215297450425,0.0018885741265344666,0.0,0.0,0.0,0.5581730530291735,0.6021777734757495,0.6080412264560751,0.6108399746795113,0.6156248727001848,0.6225731138958936,0.6098732370860688,0.6027383285102457,0.5962220070622231,0.5670725836955595,0.5458564019722426,0.5028267517136189,0.42028965104641436,0.37311079051028007,0.28422469970013364,0.15625015671075954,0.013743128435782109,0.0,0.0,0.0,0.406919194613197,0.6698637172774355,0.6724642935627351,0.6742369650411895,0.6795737244564316,0.6849473691961447,0.6659088599916925,0.655838441965223,0.6487132783724064,0.6158948911628974,0.5917833868815011,0.5472429629867641,0.45004085887868045,0.4032921795477085,0.2837814909764703,0.16003010674197113,0.017385392385392384,0.0,0.0,0.0,0.4432104168118233,0.5964953765900806,0.6024485230139413,0.6049147908133702,0.6115803955018346,0.6198629432801184,0.6292137434317094,0.6373187972369735,0.643175589541018,0.6513181314585635,0.657645660041964,0.6666368172543283,0.6854057368514951,0.7078109943890764,0.738448815045987,0.7673278371027219,0.8054163627593849,1.0,1.0,1.0,0.7171063428585561,0.6470021723486686,0.6465810209664933,0.6464103661972902,0.6442602497121832,0.6402149723681009,0.6214103427428269,0.6082905818477529,0.5955840066795266,0.5580148899385194,0.5293989565991001,0.478125921583354,0.3812414449912636,0.30197167511998146,0.17918212833956684,0.07493022991619204,0.003662944054634162,0.0,0.0,0.0,0.39769904754765545,983.0,972.0,967.0,952.0,932.0,908.0,884.0,865.0,833.0,805.0,753.0,620.0,450.0,230.0,75.0,2.0,0.0,0.0,0.0,591.1052631578947,173.0,184.0,189.0,204.0,224.0,248.0,272.0,291.0,323.0,351.0,403.0,536.0,706.0,926.0,1081.0,1154.0,1156.0,1156.0,1156.0,564.8947368421053,76.0,87.0,92.0,107.0,127.0,151.0,175.0,194.0,226.0,254.0,306.0,439.0,609.0,829.0,984.0,1057.0,1059.0,1059.0,1059.0,467.89473684210526,0.5147058823529411,0.6567506200483324,0.5285467128027682,0.722318339100346,0.7884796978281398,0.5,0.5,0.0,0.266770560329029,0.7539503386004515,1.2513966480446927,0.5275050865201938,548.3867677403575,835,321,224,16,5,5,0,23.0,179,0.5372460496613995,0.5147058823529411,0.5618508026440038,595,561,464,1059,1156,21,10
COMBINED,0.6807792274595783,0.6758159224943546,0.460081441620589,0.6807792274595783,0.6793885868415959,0.6782438480728135,0.6763440810453418,0.6733744944578639,0.66606216408415,0.6567377711919477,0.6458044292689669,0.6226936303156135,0.5962909989460312,0.5601256394134168,0.4933295659047643,0.3907465015538783,0.2643344867763866,0.16417859055615316,0.08887636065955527,0.03525450237434348,0.00914759285694545,0.0005307581989333884,0.45169701210412,0.7725106273347933,0.7675016056518946,0.7645550141061811,0.759140884684224,0.751304569173985,0.741110970517525,0.7271243881009163,0.7114427860696517,0.6856547837804728,0.6544427077071059,0.6101099929791716,0.5309301290609701,0.40954722392952264,0.26424108783535466,0.14666666666666667,0.06857187233051176,0.022516162591959574,0.004379562043795621,7.26797005596337e-05,0.494306511277119,0.5999404281846911,0.6013913828083484,0.6016764117182691,0.6025776311011722,0.6035278213267181,0.5986131956927637,0.5931646732915071,0.5862219268080183,0.5655139676817067,0.5433064670699748,0.5142363435096198,0.45839188110538537,0.37280884732079056,0.2644279187303093,0.18378142907048856,0.11519311367224547,0.05519945650536459,0.019106580575787003,0.003875968992248062,0.41489239185081095,0.8985615822595145,0.8952652082709021,0.8933173509139946,0.8897213065627809,0.884477075217261,0.8775846568774348,0.8679952052741984,0.8570572370392568,0.8386275097392868,0.8155528918189991,0.7812406353011687,0.715013485166317,0.5990410548396764,0.43092598142043753,0.2637099190890021,0.13230446508840277,0.04540005993407252,0.008990110878034162,0.00014983518130056938,0.6155229247827391,0.8463166807790008,0.8432119672593847,0.8413773638159752,0.8379904036127576,0.8330510866497318,0.8265594129268982,0.8175275190516511,0.8072255151001976,0.7898673440587073,0.7681343494213942,0.7358171041490262,0.6734405870731018,0.5642111205193339,0.4058707310189105,0.24837708156929156,0.12461191081004798,0.04276037256562235,0.00846740050804403,0.00014112334180073385,0.5797346881174146,0.6603528493949213,0.6620462792912934,0.662696288231028,0.663730753658785,0.6652785910172291,0.6621411522527447,0.6591119807367767,0.6553339463863102,0.6416105292727821,0.6270569021620939,0.6065158312081446,0.562985202754042,0.48911792448172475,0.37678734793070995,0.27689347501070743,0.1887433052228888,0.09867583288336428,0.03238484176638583,0.0064516129032258064,0.4841007708718503,0.8146715122230608,0.8158125174820985,0.8162676473051041,0.8169314698950972,0.8177877329183048,0.8130817818001401,0.8076974144931368,0.8002785264521234,0.7842629835809319,0.763897207333831,0.7370020531435438,0.6845153707506337,0.6004593122814919,0.4692907886848802,0.3500213954646224,0.24114065129080484,0.11987906929307883,0.055189041302153095,0.009615384615384616,0.5956737821216013,0.6758159224943546,0.6780277914300942,0.6792389008252043,0.6812577435013921,0.6839629798414169,0.6871824129343105,0.6911416846409667,0.6951579363798538,0.7010278811402213,0.7074297629618913,0.7153808017016543,0.7281060250256419,0.7477821501483487,0.7756968546500267,0.8080334634400067,0.8427298326855475,0.878655503372807,0.9173578268738213,0.9510817890753845,0.7497403822696287,0.7342230045504476,0.7337607113918282,0.733135716101461,0.7322063624749791,0.7306206417966176,0.7247991141994717,0.7175403071291986,0.7088199664808473,0.6886621598720908,0.6656539343854897,0.6338314663208237,0.5725001104638371,0.47257571367201073,0.3375631206068314,0.2201476454342397,0.12345267630259787,0.0500605496740875,0.013106116048487399,0.0007620738262588958,0.5049169153016635,5997.0,5975.0,5962.0,5938.0,5903.0,5857.0,5793.0,5720.0,5597.0,5443.0,5214.0,4772.0,3998.0,2876.0,1760.0,883.0,303.0,60.0,1.0,4108.0,677.0,699.0,712.0,736.0,771.0,817.0,881.0,954.0,1077.0,1231.0,1460.0,1902.0,2676.0,3798.0,4914.0,5791.0,6371.0,6614.0,6673.0,2566.0,1089.0,1111.0,1124.0,1148.0,1183.0,1229.0,1293.0,1366.0,1489.0,1643.0,1872.0,2314.0,3088.0,4210.0,5326.0,6203.0,6783.0,7026.0,7085.0,2978.0,0.5792628109080012,0.7068892769297335,0.6002397362900809,0.8309859154929577,0.7826700536268699,0.5,0.5,0.0,0.33569192835665296,0.8061046511627907,1.2941176470588236,0.5999181708067608,3920.407929852302,5546,1128,1540,140,23,23,0,155.0,1190,0.6299418604651162,0.6493856757566676,0.6116285633643804,4334,2340,2752,7086,6674,108,46
